year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_share,market_size_x,market_size_y
2019,国产新能源乘用车,内蒙古自治区,野马,野马EC30,纯电动,2290.0,115.0,2.0,0.0,2.153209109730849e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,长安,奔奔,纯电动,1573.0,45.0,10.0,0.0,1.0766045548654246e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,长安,逸动,插电式汽油混合动力,1975.0,80.0,1.0,0.0,1.0766045548654244e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,长安,逸动,纯电动,2025.0,100.0,3.0,0.0,3.2298136645962737e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,长安,长安CS15,纯电动,1905.0,55.0,5.0,0.0,5.383022774327123e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,长安,长安CS75,插电式汽油混合动力,2445.0,0.0,3.0,0.0,3.2298136645962737e-07,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,内蒙古自治区,领克,领克01,插电式汽油混合动力,2223.5,81.6,10.0,0.0,1.0766045548654246e-06,9288461.538461538,928.8461538461538
2019,国产新能源乘用车,北京市,东南,东南DX3,纯电动,2015.0,90.0,19.0,0.0,2.2556047669056207e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,东风,帅客,纯电动,2310.0,60.0,3.0,0.0,3.561481210903612e-07,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,东风风行,菱智,纯电动,2525.0,90.0,3.0,0.0,3.561481210903612e-07,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,53.0,0.0,6.2919501392630475e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,41.0,0.0,4.867357654901603e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,云度,云度π1,纯电动,1785.0,90.0,15.0,0.0,1.7807406054518059e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,云度,云度π3,纯电动,1845.0,90.0,7.0,0.0,8.310122825441762e-07,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,众泰,众泰E200,纯电动,1270.0,60.0,37.0,0.0,4.392493493447788e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,传祺,传祺GE3,纯电动,2080.0,132.0,1927.0,0.0,0.00022876580978037535,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,吉利,博瑞GE,插电式汽油混合动力,2165.0,67.57894736842105,19.0,0.0,2.2556047669056207e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,8.0,0.0,9.497283229076298e-07,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,吉利,帝豪,纯电动,1970.0,120.0,19.0,0.0,2.2556047669056207e-06,8423461.538461538,842.3461538461538
2019,国产新能源乘用车,北京市,吉利,帝豪GSe,纯电动,2010.0,120.14925373134328,1675.0,0.0,0.00019884936760878499,8423461.538461538,842.3461538461538
